ID;Comment;SH;Standox;Profiline;Brulex;Mobihel;Normex;NOMIX;REIZ;PPG;NEXA;Debeer;Maxmeyer;Sikkens;Lesonal;Kapci;DuPont;Challenger;Duxone;Vika;RockPaint;YatuEasiCoat;Hebake;RM;GreenLine;QuickLine;Lechler;General
1;Кисель (биндер);299;599;481;199;496;199;60;E100;895;3 765 600;577 588;81;65 070;5;300;;CL310;;;P150;5520;7;100;5;91;82;850
2;;;;;;;;;;;;;0;;;;;;;;;;;;;92;;
3;;;;;;;;;;;;;;;;;;;;;;;;;;;88;
4;Флоп добавка;799;8;485;177;495;699;99;S190;759;938;599;80;190 191;4;707;4530S;124;5136;8022;95;EC-60;6;101;850;90;89;860
5;US;;;;;;;59;;;;;;;;;;380;5299;Uni silver;;;;;;;;
6;;;;;;;;;;966;902;;;;;;;;;;;;;;;;;
7;T;501;570;411;110;301;401;31;E12;;;500;11;110;11;10;2;CLT03;132;9003;204;B10;603;105;100;12;0;702
8;HP;511;870;415;168;302;411;62;;753;900;;12;120;14;12;1;120;5131;8020;204;;602;190;101;11;;701
9;Иней;542;810;813;151;300;442;61;E14;959;HE01;501;19;195;12;11;3;122;5134;8021;201;B11;601;195;870;13;100;710
10;Графит;575;851;493;154;365;475;18;;942;;;93;198;190P;979;8;;;;4402;;639;260;;;80;
11;;525;564;498;184;363;425;41;;967;904;;95;160+ 070;;390+ 300;7;CLT01;;;T030;;635;260;836;18;;682
12;;527;563;492;103;362;427;1;;756;933;512;91;160;22;390;6;;112;9001;30;B23;636;250;702;16;;781
13;;502;571;495;111;361;402;10;E23 (прозрачн.) E21 (502+574);740 798;;511;92;140+ 160;23;~392;5;100;5111;8000;077- 0234;B22;637;~201;700;17;81;783
14;;574;854;499;155;364;474;37;;;;;;140+ 160;;392;;108;;;250;B22;638;~201;;;;
15;;551;897;497;197;;;;E22;;;;;;;~393;;;;;;;;D420;;;;
16;;;;;;367;;;;789;;май.70;;;;;;;;;;;;;;;;
17;;;;;;368;;;;740;948;511;92;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;705;;;
19;;;;;;;;;E24;;;;;;;;;;;;;;;;;;87;
20;RAL9005;32783272;2072068;3045001;49554;366;554;19;;;950;05.июл;9036;140;21;~393;;;;;;B26;401?;D403;701;;;784
21;Super Deep Black;32000022;2000466;3045002;49555;;;;;;;;;140;;;;;;;;;;;;;;
22;;536;566;429;104;329;436;22;;979;961;519;53;725;;654;66;176;5189;8073;41;B55;618;881;402;58;;759
23;;529;576;424;115;328;429;25;;976 746;921;544;49;726;82;653;64;132;5145;8032;49;B56;620;840;404;53;;758
24;;;;;;;;;;764;976;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;139;5149;;;;;;;;;
26;;545;896;;196;;;;;;;;;;;;;;;;;;;;;;;
27;;577;856;421;157;330;477;38;E35;;;;49;279;83;653;;134;5146;8033;48;;616;828;;;55;759
28;;;;;;;;;E34;;;;;;;;;;;;;;;;;;52;
29;;503;857;426;162;322;403;35;E37;791 991;;522;45 55;279;35;~651?;86;131;5144;8031;10;B59;617;832;318;26;43 049;749
30;;504;816;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;749;978;;;;;;;;;;;;;;;;;
32;;581;583;475;127;326;481;12;E36;748;923;555;33;;;651;;138;5148;8035;17;B58;621;828;324;43;50;
33;;582;883;477;178;327;482;13;E39;748;923;556;47;271;81;652;85;114;5123;8012;17;B66;622;820;322;52;54;756
34;;524;586;423;129;324;424;14;E42;978;926;557;46;232;72;658;~55;136;5147;80 368 034;35;;614;825;321;51;45;~641
35;;543;561;422;102;325;443;5;E31;752;980;537;59;231;31;659;50;;;;11;B53;641;816;;;LIGHT ORANGE RED;755
36;HP;544;861;425;164;825;444;39;;;941;537;59;231;33;659;50;;;;;B53;612;816;329;55;;
37;;;;;;;;;E33;;;;;;;;;;;;;;;;;;COPPER RED;
38;;;;;;;;;E32;;;;;;;;;;;;;;;;;;OXIDE RED;
39;;506;567;427;105;323;406;20;;779;907;521;50;239;34;650;84;CLT02;124;9002;0225+ 0067;B52;613;805;804;54;;~645
40;;530;882;432;170;320;430;7;E38;;942;;;328;;632;;110;5121;8010;0070+ 0069;;619;800;820;;RED;752
41;;531;582;437;183;321;431;24;;790;942;528;32;328+ 070;37;632+ 300;91;112;5122;8011;0070+ 0069;B51;615;810;323;50;;753
42;;507;815;;;;;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;41;;;;;;;;;;;;;56;;
44;;535;579;433;124;314;435;53;;792;973;533;43;235;71 74;640;53;130;5143;8030;0053+ 0054;;611;740 700;320;57;;736
45;;523;580;431;182;313;423;4;;780;983;548;23;348;73 61;224;45;142 140;51 635 162;80 418 040;57;;610;621;209;30;;734
46;;533 523+578;577;439;119;312;433;51;E52;;972;531;25;439;63;222;46;148;5168;8040;54;B63;609;630?;208;31;STAR YELLOW;632
47;;;;;;;;;E56;;;;;;;;;;;;;;;;;;ORANGE YELLOW;
48;;505;574;428;114;315;405;33;;778;905;502;31;437;65;230;81;;;;233;B60;607;605;203;36;;735
49;;532;581;436;181;316;432;32;E54;980;982;527;28;436;64;226;90;116;5126;8013;64;B61;608;600;827;34;TRANSP. SOLID YELLOW;754
50;;;;;;;;;;;903;;;;;;;;;;;;;;;;;
51;HP;521;884;435;172;310;421;63;;794;937;542;29;452;62;229;41;147;5167;8043;0062+ 0056;B65;604;;;35;;739
52;T;528;575;434;116;311;428;52;E51;;937;532;27;455;;227;43;146;5166;8042;590 054;B65;640;615;225;32;GOLDEN YELLOW;731
53;;578;587;443;142;308;478;17;;750;975;543;65;431;53;225;33;154;5173;8052;73;B42;631;610;;42;;726
54;;522;573;442;112;352;422;21;E62;777;;506;62;550;51;763;32;150;5171;8050;77;B41;632;510;600;41;70;724
55;;538;589;445;123;351;438;15;E61;797;954;546;61;564;52;760;30;152;5172;8051;76;B40;633;500;602;40;72;721
56;;553;588;451;121;344;453;16;E71;776;957;545;75;671;41;474;26;164;5184;8 062 806;71;B32;624;410;506;22;62;613
57;;554;859;455;153;343;454;2;;754;922;503;76;652;47;~477;27;162;5182;8061;72;B34;628;406 407;;23;66;717
58;;554+555;;;;;;;E72;;;;;;;;;;;;;;;;;;63 069;
59;;;;;;;;;;;;;;;;;;;;;;;;;;;60;
60;;Красн.лицо Зелён.флоп;;;;;;;E75;;;;;;;;;;;;;;;;;;69;
61;;555;562;453;101;342;455;3;E73;761;952;505;72;673;43;472;28;170;5185;8070;0082+ 0079;;625;400 404;502;20;;~716
62;;548 547+554;;;;346;;28;E76;795;956;;79;;;471;29;160;5181;;;;634?;;;;;711
63;;559;;;;;;23;;;;;;;;;;;;;;;;;;;;
64;;547;885;459;173;345;446;36;;762;930;;78;678;45;~473;;;;;;B30;626;470;503;24;;~715
65;;547+554;;;;;;;E74;;;;;;;;;;;;;;;;;;61;
66;;552;585;452;148;341;452;11;;977;;;73;~678;;~473;21;172;5187;8071;0083+ 0041;B31;627;;;21;;~612
67;T;520;569;466;109;332;420;30;;;;529;;766+ 070;;456+ 300;;;;;36;;623;300 301;;;;648
68;;556;855;465;160;331;456;34;E81;981;920;530;56;766;84;456;20;174;5188;8072;36;B70;629;300;401;27;58;747
69;S;515;818;;;;;;;;;;;;;;;;;;;;;;;;;
70;S;560;893;;;;;;;9070;;;;;;;;;;;;;;D121;;;;
71;S;516;595;611;135;403;416;68;;767;985;513VF;5;811B;90M;130;10;310;5217;8106;85;S10;664;120 161;883;63;;799
72;S;518;594;621;137;401;418;69;S34;770;986;513F;2;811E;;110 111;;306;5214;8103;86;S11;663;170;863;60;;795
73;;;;;;;;65;;;;;;;;;;;;;;;;;;;;
74;;;;;;;;70;;;;;;;;;;;;;;;;;;;;
75;S;509;892;694;140 186;409;409;;;;;;;~811J;;~152;;;;;4003;;;~161;;;;
76;S;509+557;;;;;;;S31;;;;;;;;;;;;;;;;;;90 096;
77;S;557;812;634;132;405;457;;;946;984 992;513B;83;811J;94M;152;13;314;5223;8107;4006;S40;669;~171;885;68;;898
78;S;549;813;671;136;408;449;;S23;;991;;85;811E+ 811J;;180;;308;5215;8105;94;;670;140;843;;93;
79;S;519;;;;407;;;;769;;;6;811E+ 811J;;180;;;;;;;;;;64;;
80;S;514;590;651;133;400;414;;S322B;771;;513;4;811E+ 811J;92M;180;11;304;5213;8102;87;S41;661;170;873;62;99;798
81;S;;;;;;;;S26;;;;;811J;95M;;17;;;;;;;;;;91;
82;S;514+513;;;;;;;S21;;;;;;;;;;;;;;;;;;94;
83;S;508;891;695;139 187;410;408;;;989;;;;~811M;;~161;;;;;4005;;;~164;;;;
84;S;513;593;692;130;402;413;66;S18 Крупнее;772;988;;3;811P;96M;170;14;302;5212;8101;88;S42;662;180;;61;92;794
85;S;;;;;;;71;;;;;;;;;;;;;;;;;;;;
86;S;;;;;;;72;;;;;;;;;;;;;;;;;;;;
87;S;558;811;691;131;406;458;;S22 Крупнее;952;998;513C;82+83;811M;98M;161;95;312;5221;8106;4009+ 4007;S46;668;~175;;67;97;894
88;S;517;819;;;;;67;;;;;;;;;;;;;;;;;;;;
89;S;;;;;;;74;;;;;;;;;;;;;;;;;;;;
90;S;510;598;654;138;404;410;75;S11;953;989;513VC;9;811U 811R;97M;~160;94;300;5211;8100;93;S31;667;185;195;65;98;793
91;S;;;;;;;;;;HE05;;;833G;99M;;;;;;;;;;;;;
92;S;579;806;831;149;415;479;82;S918;944;HE04;567;22;843H;191P 90CH;935;78;316;5224;8108;452;P60 P63;606;66V;834;66;419;771
93;P;591 573;801 807;814;201 219;420;791;78;P11;751;PP05;553;20;911M;90P;916;73;340;5231;8200;4351;P10;680;111;866;77;183;772
94;P;570;829;815;207;421;770;77;P12;;PP06;559;10;914F;98P;915;732;342;5232;8201;4320;;690;109;833;76;187;762
95;P;586;836;811;218;422;786;97;P13;954;PP60;578;7;914C;99P;910;731;;;;4361;;692;~10K ~11K;832;75;185;769
96;P;589;841;826;225;453;789;89;;;;;48;;;;;;;;;;694;83L;;;;768
97;P;595;805;822;205;451;795;87;P31;793;PP08;554;58;922M;93P;942;72;344;5241;8202;4314;P50;684;115;868;83;142;776
98;P;594;804;825;206;450;794;88;P32;765;PP62;552;57;922F;295P;940;721;346;5242;8203;4303;P51;683;1182;848;82;146;775
99;;;;;;;;;;;;;;;;;;;;;;;;;;;175;
100;P;571;831;862;224;452;771;96;P30;960;PP61;560;30;925M;291P 97P;950;724;348;5243;8204;4306;P71;691;85L;864;78;150;779
101;P;;;;;;;;;;;;;;;;;;;;;;;;;;137;
102;P;564;828;875;221;440;764;86;P33;955;PP10;566;34;933M+ 943M;194P 195P;945;77;350;5244;8205;4305;P65;689;74L;858;79;131;770
103;P;;;;;;;;;;;;;941F;294P;930;;;;;;;;;;;;
104;P;592;802;835;202;430;792;80;P52;956;PP09;563;60;941M;92P;930;76?;360;82 725 271;8210;4325;P61;681;1265;867;84;122;773
105;P;PP601;;;;;;;P51;;;;;943M;191P;935;;;;;;;;;;;128;
106;P;;;;;;;;;;;;;952M;199P;943;728;;;;;;;;;;;
107;P;;;;;;;;;;;;;954M;192P;975;;;;;;;;58L;;;;
108;P;;;;;;;;;;;;;;;;;;;;;;;;;;177;
109;P;Мельче 572;;;;;;;P62;;;;;951F;197P;972;751;;;;;;;;;;172;
110;p;572;824;844;217;481;772;93;P61;957;PP65;562;66;954S;95P;970;75;354;5261;8207;4316;P40;687;54L;;;;777
111;P;593;803;855;203;470;793;92;;763;PP07;;40?;964R;293P;920;74;;;8206;4304;P30;682;1245;861;80;;778
112;P;561+PP502;;;;;;;P70;;;;;;;;;;;;;;;;;;;
113;P;;;;;;;;;;;;;;;;;;;;;;;;;;174;
114;P;561;823;845;215;480;761;95;;;;564;63;954G 954M;290P;976 977;756;358;5263;8209;4323;;686;45L;837;;;767
115;P;563;825;853;208;471;763;91;P71;;PP63;561;40;964H+ 964R;292P;920+ 925;;352;5251;;4310;;688;118;882;86;162;766
116;P;587;839;854;211;472;787;90;P72;943;PP63;;70;964H;292P;925;741;;;;4308;P31;693;;;86;;
117;P;;;;;;;;;;;;;;;;;356;5262;8208;;;;;;;;
118;P;568;821;464;209;460;768;98;P81;958;PP64;565;54;975S;96P;960;76?;370;52 825 281;8211;4315;P70;685;34M;862;81;152;774
119;SP;576;895;693;150 185;416;476;83;;983;HE05;;;;;;;;;;;;;71V;835;;;764
120;SP;580;894;;222;;;;;;;;;;;;;;;;;;;;;;;
121;SP;590;888;;;;;;;;;;;;;;;;;;;;;;;;;
122;Xi;596;826;817;216;500;796;42;X12;PRLX2;XR10;571;SBX1;911H;91X;917;735;390;5300;8300;4330;PX1;721;1190;886;1;;872
123;;;;;;;;;;;;;SBX4;;;;;;;;;;;;;4;;
124;;;;;;;;46;;;;;;;;;;;;;;;;;;;;
125;Xi;597;827;821;210;503;797;43;X30;PRLX1;XR12;569;SBX5;923H;92X;947;725;391;5301;8301;;PX5;722;1815;888;5;195;875
126;Xi;584;844;836;220;502;784;48;X33;PRLX7;XR16;;SBX3;933F;;;775;395;5305;8305;;PX7;724;73L;;3;;870
127;Xi;583;843;837;213;501;783;44;X50;PRLX3;XR11;573;SBX2;941H;90X;931;765;394;5304;8304;;PX6;723;62L;887;2;;873
128;Xi;598;846;847;212;505;798;47;X60;PRLX5;XR17;574;SBX9;951H;;971;755;393;5304;8303;;PX4;726;57M;880;7;;877
129;Xi;585;845;857;214;504;785;45;X70;PRLX4;XR13;572;SBX7;961H;94X;926;745;392;5302;8302;;PX3;725;47M;881;6;;878
